279.837	272.367	272.045	274.235	282.954	284.274	276.255	277.695	272.036	273.502	273.049	274.820	274.837	277.559	276.224	278.521	275.752	285.572	285.342	285.971	278.334	280.148	287.787	288.956	283.959	284.499	277.030	285.948	278.301	287.853	287.745	289.097	283.965	285.046	276.663	278.545	277.985	287.593	287.521	280.391	275.584	277.263	276.359	279.283	286.595	279.702	279.070	280.693	287.916	280.855	281.154	282.217	290.717	291.989	291.705	292.756	279.312	290.153	289.366	290.796	282.159	291.926	282.767	292.551	107.538	103.153	108.764	109.692	103.821	111.084	104.908	112.110	102.029	103.249	103.419	110.477	104.587	105.832	105.596	106.715	106.425	108.263	107.698	108.851	108.965	110.055	109.690	110.901	107.096	108.831	108.557	109.306	109.397	110.668	110.351	111.691	92.134	94.492	94.168	88.265	88.564	90.154	97.839	97.944	32.296	32.491	NA	32.185	32.414	30.902	31.421	29.846	91.739	92.884	92.725	94.038	94.386	95.484	95.251	96.762	92.345	93.773	93.455	94.912	95.056	96.540	96.178	97.703
273.754	275.031	283.280	276.043	276.157	278.526	285.477	286.864	282.146	283.952	283.357	276.173	276.321	285.737	277.385	279.084	276.879	278.522	278.513	287.011	287.709	289.087	280.703	290.283	276.815	287.044	286.445	287.975	287.199	280.965	280.698	290.230	285.085	278.559	286.764	287.147	280.190	288.146	281.312	281.918	276.346	286.465	277.839	279.700	279.013	288.808	289.052	289.567	289.355	282.163	282.034	292.444	283.403	293.413	292.481	294.718	280.499	290.884	290.937	292.073	292.353	284.579	284.522	285.593	102.786	104.447	103.843	105.103	111.316	106.486	106.178	113.454	103.280	104.785	104.473	111.945	111.977	113.161	112.875	108.122	108.217	109.158	108.723	110.063	109.951	111.504	110.874	112.085	108.415	109.721	109.267	110.830	110.938	112.101	111.584	112.910	94.299	88.783	95.306	90.188	97.652	91.632	91.270	92.669	32.506	32.060	32.249	NA	29.907	30.501	30.048	31.188	92.851	94.428	94.217	95.541	95.412	97.046	96.766	97.565	93.582	95.202	94.911	96.153	96.537	97.405	97.346	97.916
274.039	284.094	275.014	276.421	284.930	278.199	287.133	279.410	273.481	275.389	274.731	284.515	284.913	278.945	285.746	279.210	286.439	279.361	278.202	279.853	288.226	281.293	288.394	282.269	276.814	288.042	286.944	288.148	279.865	281.227	281.106	282.500	276.534	278.598	278.315	287.858	279.554	289.212	280.879	290.206	276.384	278.680	286.735	280.650	280.567	290.569	281.769	282.913	281.190	282.363	282.057	283.639	293.095	293.917	293.808	294.941	281.235	290.479	291.303	293.262	292.819	285.543	293.804	294.651	103.051	110.714	103.767	111.730	111.865	113.092	106.488	107.711	109.999	105.029	111.127	112.366	112.536	113.784	106.997	108.568	108.210	109.254	109.109	110.731	110.163	112.104	111.242	112.373	109.051	109.761	109.487	110.838	110.906	112.121	112.422	113.701	86.855	88.909	95.732	97.637	90.508	98.100	98.143	98.242	32.483	32.053	32.418	29.609	NA	30.856	30.489	31.261	93.216	94.676	94.429	95.879	96.001	97.275	97.472	97.991	93.824	95.272	95.073	96.584	97.123	97.953	97.762	98.430
275.042	276.457	285.346	278.412	277.379	279.326	288.141	288.854	274.830	276.356	276.016	286.573	287.636	288.747	278.555	289.289	287.628	288.969	288.654	281.115	289.898	291.910	291.751	283.780	287.016	280.044	280.570	281.083	280.854	291.313	290.721	283.892	287.130	280.472	279.121	289.265	280.685	290.490	282.168	291.651	278.545	280.375	287.167	281.518	289.974	282.591	282.290	283.313	282.377	293.151	283.958	294.239	294.786	295.515	285.891	296.490	282.165	283.344	283.281	285.488	294.631	286.142	285.722	296.317	110.847	112.382	105.195	113.326	113.442	114.731	114.538	108.766	111.605	112.991	112.909	114.161	107.397	108.629	108.402	109.200	108.991	111.248	109.996	112.268	112.414	112.658	112.306	113.563	110.499	111.935	111.748	113.014	112.049	113.326	114.013	115.200	89.164	97.629	97.760	97.893	91.723	93.076	92.808	94.008	32.223	29.451	29.855	30.444	30.889	NA	32.004	33.127	94.511	95.906	95.184	97.109	97.063	97.930	98.095	98.517	94.770	96.799	96.486	97.437	97.900	98.378	98.230	99.552
275.574	276.049	275.627	285.244	277.182	287.086	278.263	288.120	274.757	284.868	276.111	277.176	285.798	286.931	278.591	287.845	286.406	286.990	279.455	288.853	281.123	282.164	289.549	283.176	277.841	287.634	286.548	280.918	289.125	282.280	281.857	291.536	286.196	280.002	279.243	282.080	280.688	282.740	281.817	290.613	286.265	280.364	287.153	281.113	280.687	282.432	282.104	283.689	281.820	283.157	282.908	292.586	284.210	294.168	293.887	295.283	281.878	292.099	282.906	284.302	284.619	285.648	285.509	295.182	109.817	105.274	110.861	112.102	112.333	113.618	107.268	108.850	104.267	111.890	111.529	106.797	112.859	108.619	113.911	115.286	109.225	110.162	109.899	111.214	111.412	112.651	112.413	113.518	109.314	110.942	110.609	111.803	111.965	113.244	112.996	114.190	88.892	90.270	89.859	98.118	98.189	98.404	92.654	93.771	32.361	28.896	31.483	29.994	30.548	32.000	NA	32.654	94.197	95.583	94.977	97.071	97.530	97.985	98.007	98.354	94.511	96.537	96.216	97.459	97.750	98.324	98.212	99.546
284.978	277.487	285.043	278.639	278.251	289.212	279.698	289.943	285.234	277.199	285.798	286.101	286.981	279.753	280.193	281.522	288.027	289.537	280.132	281.638	289.538	283.140	291.315	284.226	288.877	280.936	280.488	290.501	289.637	292.079	283.090	284.561	288.001	289.917	280.206	290.245	290.611	290.311	291.691	284.150	288.056	289.320	280.556	290.107	281.906	283.639	284.194	292.512	292.245	284.588	284.276	295.646	285.423	287.124	295.099	287.866	292.140	293.681	293.575	285.590	296.066	296.126	286.460	287.955	105.105	106.414	106.134	107.363	107.392	115.358	115.118	109.383	105.617	107.065	106.994	114.624	114.717	116.049	109.277	110.045	109.734	111.871	111.705	112.231	112.953	113.580	113.934	114.390	111.137	111.839	112.324	113.562	113.667	114.934	113.894	115.249	90.088	91.515	91.305	92.590	92.708	99.795	93.863	101.002	28.617	30.407	29.811	31.219	31.282	33.131	32.705	NA	95.148	97.394	96.365	97.642	98.129	98.813	98.393	99.735	95.782	97.533	97.359	98.013	98.147	99.500	99.362	100.601
276.054	278.367	277.409	278.164	279.203	279.967	279.237	281.669	276.716	277.678	278.021	279.708	279.573	279.753	280.344	280.569	280.038	280.875	280.832	281.526	282.777	285.114	282.678	285.239	278.821	280.224	279.933	282.655	281.646	284.162	284.466	283.884	279.563	280.097	280.499	282.571	281.037	282.483	283.340	285.878	279.703	282.062	280.416	282.544	282.280	283.942	283.382	283.415	283.707	284.519	284.445	285.365	286.483	286.868	287.647	288.926	283.547	285.427	275.399	286.679	285.729	287.175	287.458	289.020	104.389	106.534	106.301	106.893	107.891	108.163	107.924	108.944	105.405	106.531	106.875	108.230	107.759	108.837	108.540	109.396	106.193	107.566	107.314	101.760	108.757	109.693	102.726	110.549	100.158	108.154	107.863	102.479	102.716	110.340	110.022	111.360	89.943	91.179	91.060	92.250	92.366	93.800	93.408	94.489	90.677	91.810	91.783	92.916	93.187	94.371	93.941	95.119	NA	32.288	32.384	32.489	32.517	32.134	32.421	28.623	91.856	86.121	92.181	94.257	94.435	95.431	88.841	96.674
277.065	278.756	279.290	281.170	281.321	281.516	280.805	282.882	277.261	279.947	278.128	280.997	281.726	281.809	281.032	282.397	282.121	281.989	283.253	283.159	283.003	286.054	284.069	285.605	281.734	283.430	283.483	284.394	284.620	284.750	285.566	285.587	282.227	282.339	281.587	284.933	283.362	284.714	284.461	285.672	280.493	282.304	282.359	283.904	283.649	285.841	285.451	286.932	284.735	287.940	287.206	288.659	288.659	289.035	288.100	290.238	284.461	286.131	285.683	287.108	288.306	290.354	288.188	290.812	106.317	108.321	107.826	108.925	109.021	109.711	109.424	111.014	107.187	108.754	108.605	109.437	109.536	110.822	110.583	111.384	101.019	108.800	108.583	109.679	109.775	104.854	104.332	111.958	101.627	109.353	103.197	104.018	104.182	111.761	111.411	112.737	91.379	92.708	92.561	93.674	93.771	95.161	94.915	96.471	92.107	93.230	93.020	94.498	94.654	95.956	95.547	97.309	32.433	NA	32.520	32.256	32.030	29.469	28.893	30.376	86.073	86.979	86.865	88.810	88.914	90.645	97.643	97.908
276.411	279.608	278.734	279.279	280.036	280.818	279.956	281.543	276.279	279.031	279.176	279.003	280.253	280.699	279.791	282.039	279.625	282.429	280.589	283.738	283.434	284.954	284.412	285.141	279.361	280.754	280.612	281.962	283.736	283.610	284.472	285.770	279.263	282.984	282.067	283.526	282.510	284.372	284.475	284.659	279.779	283.039	282.212	283.707	283.385	284.709	284.828	285.561	283.690	285.468	285.028	287.756	287.581	287.978	287.598	290.385	283.793	286.789	286.178	287.800	286.036	289.316	288.552	289.106	105.691	107.312	106.573	107.883	108.612	109.288	109.143	109.539	106.467	107.633	107.248	108.930	109.002	109.419	109.071	110.877	100.406	101.541	108.043	108.984	109.075	103.717	103.693	111.123	101.006	108.955	108.693	103.461	109.677	104.897	104.248	111.929	91.467	92.508	92.447	93.399	93.479	94.672	94.687	95.444	91.908	93.081	92.762	93.944	94.094	95.254	95.020	96.301	32.412	32.512	NA	32.279	32.413	31.188	31.624	29.819	86.150	87.069	86.602	95.287	88.777	90.281	97.432	97.965
277.978	281.290	278.889	282.166	281.426	283.767	282.063	284.751	279.907	280.278	280.975	280.860	282.111	282.637	281.850	284.546	281.106	284.448	282.446	285.423	283.788	285.308	286.423	286.536	281.205	284.484	282.419	285.407	283.909	285.484	286.415	286.328	283.234	283.329	284.243	285.597	285.722	285.542	286.410	288.259	282.929	285.265	284.331	285.472	286.471	286.822	285.068	287.721	286.853	287.059	288.290	289.864	287.659	289.873	288.983	290.386	287.008	287.224	288.672	290.089	288.331	291.121	290.464	290.429	107.539	108.684	108.830	109.503	109.455	110.974	110.644	111.785	108.410	109.247	108.917	110.167	110.119	111.354	111.363	112.381	101.977	103.449	109.219	110.465	110.607	111.895	105.572	112.771	102.968	103.924	103.571	111.179	111.275	112.560	112.236	113.603	92.328	93.690	93.419	94.804	94.855	96.496	96.429	97.401	92.741	94.474	94.266	95.440	95.757	97.088	96.984	97.738	32.524	32.167	32.310	NA	29.822	30.445	30.013	31.241	94.287	95.928	88.337	97.237	90.266	97.934	97.874	98.308
280.246	281.073	278.589	280.804	280.077	283.721	283.792	282.531	277.035	279.247	280.610	281.134	280.836	281.553	283.259	283.273	282.805	284.259	282.062	283.291	283.681	287.274	286.545	287.794	282.862	282.181	284.340	285.782	283.405	286.888	286.722	285.869	283.003	284.511	284.424	284.902	285.738	285.067	286.623	286.127	280.688	282.841	284.046	283.969	284.106	286.908	285.031	288.029	285.117	286.802	286.239	289.985	290.007	291.432	288.722	290.303	285.067	288.753	288.103	289.640	287.210	289.365	290.507	290.121	107.322	108.852	108.143	109.162	109.395	110.855	110.138	111.369	107.749	108.988	108.623	109.837	109.899	111.177	110.845	112.378	101.876	103.314	103.256	110.026	104.186	105.792	111.144	112.360	108.704	103.756	103.641	105.105	105.308	106.502	111.849	107.363	92.570	93.901	93.488	94.898	95.067	96.875	96.021	97.713	92.975	94.618	94.455	95.702	96.048	97.552	97.626	98.128	32.525	32.098	32.421	29.577	NA	30.873	30.533	31.265	94.612	96.365	88.651	90.280	97.930	98.138	98.138	92.695
278.961	282.743	280.835	282.012	281.619	283.689	284.435	285.984	278.966	283.132	280.109	283.366	283.493	283.621	284.721	285.758	284.391	285.679	285.365	286.623	285.226	288.297	285.906	289.296	284.171	285.893	285.454	286.764	284.887	286.690	287.607	289.376	282.804	284.182	285.765	287.541	286.745	286.753	287.761	287.617	282.435	286.287	283.712	285.758	286.586	288.186	286.525	288.255	286.543	290.230	289.751	289.203	291.052	290.883	292.029	291.619	286.498	290.309	287.619	289.290	291.027	291.227	290.246	291.754	108.921	109.695	109.399	110.668	110.839	112.081	111.812	112.915	109.040	110.322	110.088	111.345	111.479	112.738	112.426	113.634	109.392	110.667	104.315	105.794	106.047	113.144	106.970	113.997	103.847	111.298	105.375	112.321	112.490	113.763	107.648	108.985	93.704	95.168	94.673	96.483	96.413	97.725	97.743	98.116	94.220	95.919	95.747	97.040	97.513	98.095	98.066	98.676	32.359	29.490	31.242	30.419	30.864	NA	32.034	33.127	95.636	90.504	90.159	91.488	91.737	98.446	98.265	99.716
280.913	282.251	281.358	281.676	283.145	283.055	282.359	285.747	278.429	282.226	279.500	282.570	281.438	283.326	284.710	285.492	283.969	283.460	283.147	286.375	284.913	286.227	285.683	289.032	283.873	283.416	283.218	284.563	286.251	287.968	287.540	287.025	281.867	285.936	285.306	286.710	285.004	288.825	287.425	287.064	284.344	285.915	285.230	286.949	285.052	287.552	286.851	287.339	286.096	289.855	286.727	291.462	290.297	290.119	291.319	293.089	288.324	287.539	289.426	290.726	290.484	290.235	289.855	290.933	108.528	109.285	109.040	110.457	110.640	111.655	111.368	112.723	108.841	109.907	109.723	111.032	111.097	112.379	112.136	113.431	108.878	104.320	103.892	111.230	105.702	112.731	106.662	113.544	103.628	105.223	110.677	106.382	106.548	113.367	113.076	114.395	93.449	94.920	94.304	95.954	96.155	97.791	97.618	97.997	94.224	95.720	95.335	96.966	97.473	98.118	97.962	98.692	32.413	28.924	31.523	30.079	30.505	32.006	NA	32.683	95.383	90.111	89.546	98.103	91.521	98.294	98.296	99.536
280.288	283.222	281.127	283.036	284.301	285.221	283.757	286.764	280.639	282.075	281.592	284.256	282.783	285.232	283.799	285.912	285.321	284.916	285.003	287.540	285.873	287.543	286.809	289.868	283.077	284.963	286.826	287.519	285.990	288.897	287.093	290.010	283.298	287.390	285.689	286.878	287.004	287.798	287.415	290.837	285.052	286.451	286.285	287.006	286.534	287.943	288.567	289.675	289.060	290.581	288.677	291.919	290.261	291.776	291.413	292.884	287.354	289.178	288.424	291.692	292.365	293.544	292.843	294.349	109.351	110.662	110.419	111.729	111.541	112.776	112.459	113.913	109.980	111.040	110.721	112.050	112.177	113.740	113.400	114.621	104.069	105.703	105.405	106.610	112.776	108.076	107.843	114.900	104.983	106.397	106.120	107.314	107.479	108.675	114.393	115.774	94.753	96.256	95.897	97.293	97.285	98.204	98.036	98.896	95.062	97.105	96.900	97.529	97.992	98.567	98.368	100.184	28.615	30.372	29.812	31.226	31.293	33.079	32.712	NA	89.879	91.441	97.938	92.657	98.238	99.744	93.614	100.824
276.053	278.372	277.009	279.744	279.428	280.918	280.500	281.321	275.696	277.326	278.673	279.548	279.489	280.261	281.089	281.228	280.275	281.825	279.977	281.578	281.615	282.972	282.349	285.785	278.867	281.846	280.038	282.910	283.556	284.575	283.807	284.064	280.689	281.016	281.556	282.048	281.930	283.127	284.072	285.338	278.710	280.670	280.364	282.033	282.907	284.447	283.046	285.370	284.615	286.114	284.465	287.415	285.598	287.597	287.721	288.074	284.586	284.703	283.978	285.954	287.645	287.092	288.212	289.967	105.180	106.565	106.358	107.667	107.464	108.922	108.355	109.492	105.865	107.306	106.953	108.520	108.618	109.220	109.066	109.807	99.772	107.695	107.342	108.611	102.361	109.645	103.396	104.558	100.513	108.326	101.484	103.022	109.087	110.297	103.633	111.261	90.644	92.078	91.919	92.627	93.000	94.596	94.327	95.027	91.237	92.556	92.410	93.676	93.508	94.751	94.457	95.788	91.840	86.059	92.158	94.372	94.531	95.626	95.397	97.039	NA	32.374	32.344	32.515	32.508	32.294	32.399	28.554
279.513	279.032	280.752	281.717	281.806	281.960	281.484	283.894	279.294	279.536	278.376	280.828	279.998	282.078	283.204	282.551	280.473	281.948	281.871	285.008	283.555	285.085	284.306	286.082	282.568	283.954	281.792	285.244	285.128	286.806	284.205	286.108	282.782	282.570	283.989	284.775	285.039	284.923	284.792	285.887	280.627	282.620	281.961	285.337	283.503	286.511	284.685	285.958	284.750	287.012	285.932	287.603	289.273	289.159	290.096	292.249	286.905	288.471	285.967	289.985	287.255	290.327	290.245	291.776	106.915	108.613	108.409	109.161	109.180	110.419	110.141	111.288	107.481	108.995	108.923	109.689	109.791	111.099	110.760	111.948	108.204	103.276	103.104	109.941	110.064	105.514	105.250	112.272	108.814	103.537	109.368	110.742	104.928	106.235	111.885	113.041	91.841	93.189	93.019	94.413	94.465	95.946	95.628	97.067	92.334	94.035	93.701	95.111	95.297	96.748	96.593	97.397	86.105	86.920	94.418	95.894	88.990	97.490	97.559	97.927	32.436	NA	32.499	32.337	32.093	29.442	28.907	30.393
279.114	280.522	280.152	281.339	279.434	282.810	282.543	282.409	277.049	280.492	278.143	281.050	279.439	281.055	282.636	281.934	282.780	282.105	283.464	282.983	283.050	284.591	285.746	285.375	282.113	284.257	281.425	283.870	283.088	284.461	283.726	285.440	280.076	284.328	284.060	283.855	283.383	284.643	285.508	285.469	280.270	284.382	283.580	284.360	285.227	284.553	285.729	285.706	286.427	286.155	285.298	287.034	286.968	290.365	288.155	291.042	284.236	286.177	287.597	289.038	286.960	288.585	288.159	289.607	106.690	108.264	107.856	108.888	108.966	110.092	109.846	111.015	107.249	108.964	108.607	109.393	109.469	110.734	110.481	111.788	107.859	108.859	102.592	103.549	103.720	110.989	110.648	111.851	108.179	103.215	109.105	104.376	104.498	111.695	111.418	106.638	91.787	93.181	92.751	94.234	94.209	95.765	95.296	96.775	92.417	93.670	93.344	95.106	95.051	96.502	96.190	97.275	86.048	94.495	86.553	88.305	96.386	97.627	97.829	97.924	32.282	32.520	NA	32.190	32.447	31.352	31.541	29.871
280.737	281.835	281.436	282.551	281.105	282.891	282.214	283.579	278.296	280.386	280.171	283.246	281.079	284.139	282.205	284.988	283.322	284.858	283.007	285.081	286.009	287.289	285.496	288.123	283.302	283.351	284.478	285.785	285.058	286.086	285.507	286.986	283.529	285.372	283.251	285.140	285.924	286.753	287.867	287.049	282.968	283.836	284.564	285.224	285.811	286.319	286.383	287.396	287.892	287.866	288.724	288.683	288.506	290.335	290.039	292.943	287.585	289.360	286.996	288.908	290.146	290.398	291.159	292.938	107.880	109.062	109.060	109.811	110.333	111.580	110.929	112.121	108.416	109.545	109.285	110.508	110.678	111.969	111.648	113.097	108.875	104.049	109.778	111.211	105.166	112.564	112.378	107.454	109.411	110.842	110.530	105.702	112.034	107.162	106.816	108.011	92.902	94.419	93.954	95.379	95.642	97.014	96.944	97.556	93.413	95.104	94.861	96.092	96.564	97.398	97.371	97.934	86.649	88.942	95.304	90.145	90.311	91.518	97.981	98.164	32.512	31.981	32.206	NA	29.839	30.455	29.962	31.185
278.850	280.462	281.709	281.936	281.980	283.875	282.780	284.692	278.661	281.741	279.979	281.781	281.442	283.479	283.717	285.543	282.217	284.880	284.783	284.890	285.012	287.655	287.286	287.580	282.866	283.745	284.746	284.830	285.116	287.392	285.807	288.692	283.893	285.718	284.576	285.477	286.113	287.397	287.141	288.666	283.699	285.611	284.716	285.368	285.729	287.861	287.072	288.445	287.372	290.282	278.761	289.894	288.968	291.440	290.181	292.434	287.641	288.229	288.983	290.068	290.463	290.214	290.721	291.123	108.198	109.053	109.469	110.135	110.198	112.191	111.780	112.338	108.801	109.841	109.505	110.776	110.906	112.847	111.860	113.180	103.007	104.077	110.393	111.638	111.823	106.627	112.759	113.954	103.549	105.040	111.170	106.014	112.567	113.764	106.975	114.771	93.052	94.641	94.383	95.656	95.774	97.358	97.494	97.959	93.575	95.328	95.036	96.642	97.111	97.745	97.739	98.364	86.841	88.907	88.843	97.639	90.514	98.153	91.308	98.216	32.507	32.127	32.307	29.570	NA	30.880	30.503	31.277
280.753	281.914	283.170	284.202	284.058	285.370	284.241	285.656	280.584	282.679	282.763	285.109	284.116	284.593	285.172	285.662	284.548	286.355	285.137	287.424	287.120	288.674	287.912	290.153	284.803	286.533	285.415	287.327	286.700	289.354	288.590	289.852	283.249	284.928	284.306	287.978	286.085	287.277	287.279	289.181	283.420	285.188	284.901	287.093	285.878	287.431	286.925	288.662	288.268	289.638	290.183	291.251	291.557	292.344	292.176	293.443	288.063	289.519	289.943	291.279	291.079	292.129	291.543	292.673	109.006	110.328	111.203	111.371	111.439	112.709	113.408	113.596	109.584	110.993	110.739	112.929	113.129	114.390	114.053	115.320	110.832	112.282	105.108	113.253	106.572	114.660	114.325	115.530	111.607	106.270	112.705	113.988	114.056	115.380	115.007	109.165	94.243	95.965	95.509	97.093	97.539	98.039	98.053	98.542	94.707	96.802	96.646	97.418	97.879	98.419	98.169	99.416	89.230	90.627	90.277	91.520	91.734	93.032	92.782	94.034	32.278	29.535	31.338	30.452	30.900	NA	32.022	33.109
279.565	280.936	282.092	283.736	283.615	283.916	282.697	286.325	281.346	281.009	282.516	284.011	281.947	285.127	282.903	284.302	283.166	284.449	284.233	287.231	287.572	288.890	286.467	287.794	282.966	286.173	284.300	287.023	287.099	287.293	288.345	289.716	283.691	283.892	283.180	285.009	286.518	286.048	286.113	287.025	281.932	283.893	283.490	287.143	284.970	286.573	288.208	288.992	288.185	288.053	289.500	289.524	290.759	292.319	292.491	291.472	286.825	288.174	287.676	289.372	289.393	290.947	291.899	291.804	108.927	110.096	109.762	111.064	111.180	112.470	112.106	113.523	109.345	110.727	110.498	111.751	111.853	113.116	112.986	114.032	109.667	111.013	104.863	106.290	106.521	113.510	107.197	108.750	104.107	105.894	111.584	106.742	106.966	108.582	108.219	115.189	93.869	95.604	95.236	97.064	97.547	97.976	97.926	98.373	94.563	96.549	96.218	97.356	97.766	98.162	98.112	99.274	95.247	97.628	97.379	97.926	98.125	98.230	92.425	93.556	32.408	28.908	31.579	29.980	30.541	32.051	NA	32.656
283.000	282.534	282.473	283.610	283.445	286.346	284.902	286.034	282.448	284.440	284.087	283.822	285.080	285.326	284.649	287.514	285.044	286.143	286.230	288.059	287.353	290.110	288.440	290.856	286.204	287.273	287.343	288.218	288.734	289.277	289.399	290.218	284.926	287.500	285.210	286.667	287.094	288.191	287.512	289.780	283.814	285.313	286.339	286.223	286.610	289.067	288.829	289.985	289.743	290.187	289.880	291.295	292.238	293.601	293.387	293.437	289.783	290.093	289.704	290.956	291.323	293.742	292.379	293.640	110.584	111.875	111.074	112.210	113.039	114.309	113.951	114.433	111.437	111.890	111.619	112.903	113.124	115.282	113.995	115.323	104.913	106.513	112.575	113.854	114.040	115.343	115.017	109.411	112.481	113.527	106.944	108.145	108.292	109.214	108.949	116.970	95.072	96.949	96.263	97.633	97.558	98.976	98.366	99.747	96.105	97.537	97.357	97.993	98.422	99.557	99.417	100.523	90.094	91.446	91.294	92.617	92.688	99.752	99.525	94.628	28.596	30.351	29.874	31.201	31.257	33.123	32.704	NA
